SectionName,Material,Shape,t3,t2,tf,tw,Area,TorsConst,I33,I22,I23,AS2,AS3,S33,S22,Z33,Z22,R33,R22,ConcCol,ConcBeam,Color,TotalWt,TotalMass,FromFile,AMod,A2Mod,A3Mod,JMod,I2Mod,I3Mod,MMod,WMod,SectInFile,FileName,GUID,Notes
TUBO240X240X40,A992Fy50,Box/Tube,0.24,0.24,0.04,0.04,0.032,0.00032,0.0002219,0.0002219,0,0.0192,0.0192,0.001849167,0.001849167,0.002432,0.002432,0.083272895,0.083272895,No,No,Yellow,0,0,Yes,1,1,1,1,1,1,1,1,TUBO240X240X40,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO300X300X30,A992Fy50,Box/Tube,0.3,0.3,0.03,0.03,0.0324,0.0005905,0.0003985,0.0003985,0,0.018,0.018,0.002656667,0.002656667,0.003294,0.003294,0.110902582,0.110902582,No,No,Magenta,0,0,Yes,1,1,1,1,1,1,1,1,TUBO300X300X30,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO400X200X30,A992Fy50,Box/Tube,0.4,0.2,0.03,0.03,0.0324,0.0004396,0.0006081,0.0001889,0,0.024,0.012,0.0030405,0.001889,0.003954,0.002334,0.136998239,0.076356054,No,No,Red,0,0,Yes,1,1,1,1,1,1,1,1,TUBO400X200X30,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO320X320X28,A992Fy50,Box/Tube,0.32,0.32,0.028,0.028,0.0327,0.0006971,0.000469,0.000469,0,0.01792,0.01792,0.00293125,0.00293125,0.003592,0.003592,0.119760209,0.119760209,No,No,Magenta,0,0,Yes,1,1,1,1,1,1,1,1,TUBO320X320X28,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO360X180X35,A992Fy50,Box/Tube,0.36,0.18,0.035,0.035,0.0329,0.0003308,0.0004763,0.0001428,0,0.0252,0.0126,0.002646111,0.001586667,0.003519,0.002039,0.120321252,0.065881906,No,No,Yellow,0,0,Yes,1,1,1,1,1,1,1,1,TUBO360X180X35,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO380X266X28,A992Fy50,Box/Tube,0.38,0.266,0.028,0.028,0.03304,0.0006662,0.0006211,0.000346,0,0.02128,0.0149,0.003268948,0.002601504,0.004091,0.00315,0.137107356,0.102333548,No,No,Yellow,0,0,Yes,1,1,1,1,1,1,1,1,TUBO380X266X28,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO360X252X30,A992Fy50,Box/Tube,0.36,0.252,0.03,0.03,0.03312,0.0005834,0.0005478,0.0003031,0,0.0216,0.01512,0.003043333,0.002405556,0.003845,0.002951,0.128607368,0.095663839,No,No,Gray8Dark,0,0,Yes,1,1,1,1,1,1,1,1,TUBO360X252X30,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO320X224X35,A992Fy50,Box/Tube,0.32,0.224,0.035,0.035,0.03318,0.0004285,0.0004111,0.0002236,0,0.0224,0.01568,0.002569375,0.001996429,0.003328,0.002532,0.11131035,0.082091409,No,No,Yellow,0,0,Yes,1,1,1,1,1,1,1,1,TUBO320X224X35,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO360X360X25,A992Fy50,Box/Tube,0.36,0.36,0.025,0.025,0.0335,0.0009399,0.0006301,0.0006301,0,0.018,0.018,0.003500555,0.003500555,0.004216,0.004216,0.137145741,0.137145741,No,No,Magenta,0,0,Yes,1,1,1,1,1,1,1,1,TUBO360X360X25,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO400X400X22.2,A992Fy50,Box/Tube,0.4,0.4,0.022200001,0.022200001,0.03355,0.001197,0.0008008,0.0008008,0,0.01776,0.01776,0.004004,0.004004,0.004758,0.004758,0.154495477,0.154495477,No,No,Green,0,0,Yes,1,1,1,1,1,1,1,1,TUBO400X400X22.2,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO280X280X35,A992Fy50,Box/Tube,0.28,0.28,0.035,0.035,0.0343,0.0005147,0.0003501,0.0003501,0,0.0196,0.0196,0.002500714,0.002500714,0.003173,0.003173,0.101029684,0.101029684,No,No,Red,0,0,Yes,1,1,1,1,1,1,1,1,TUBO280X280X35,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO300X210X40,A992Fy50,Box/Tube,0.3,0.21,0.04,0.04,0.0344,0.0003635,0.0003571,0.0001912,0,0.024,0.0168,0.002380667,0.001820952,0.003152,0.002378,0.10188628,0.074552931,No,No,Magenta,0,0,Yes,1,1,1,1,1,1,1,1,TUBO300X210X40,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO320X320X30,A992Fy50,Box/Tube,0.32,0.32,0.03,0.03,0.0348,0.0007317,0.000493,0.000493,0,0.0192,0.0192,0.00308125,0.00308125,0.003798,0.003798,0.119023807,0.119023807,No,No,Yellow,0,0,Yes,1,1,1,1,1,1,1,1,TUBO320X320X30,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO340X340X28,A992Fy50,Box/Tube,0.34,0.34,0.028,0.028,0.03494,0.0008504,0.0005715,0.0005715,0,0.01904,0.01904,0.003361765,0.003361765,0.004099,0.004099,0.127892972,0.127892972,No,No,Yellow,0,0,Yes,1,1,1,1,1,1,1,1,TUBO340X340X28,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO400X280X28,A992Fy50,Box/Tube,0.4,0.28,0.028,0.028,0.03494,0.0007887,0.0007335,0.0004095,0,0.0224,0.01568,0.0036675,0.002925,0.004573,0.003525,0.144890069,0.108259372,No,No,Magenta,0,0,Yes,1,1,1,1,1,1,1,1,TUBO400X280X28,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO380X190X35,A992Fy50,Box/Tube,0.38,0.19,0.035,0.035,0.035,0.0004003,0.0005709,0.0001726,0,0.0266,0.0133,0.003004737,0.001816842,0.003976,0.002314,0.1277162,0.070224131,No,No,Yellow,0,0,Yes,1,1,1,1,1,1,1,1,TUBO380X190X35,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO380X266X30,A992Fy50,Box/Tube,0.38,0.266,0.03,0.03,0.03516,0.0006986,0.0006538,0.0003629,0,0.0228,0.01596,0.003441053,0.002728571,0.004329,0.003327,0.136363464,0.101594232,No,No,Gray8Dark,0,0,Yes,1,1,1,1,1,1,1,1,TUBO380X266X30,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO260X260X40,A992Fy50,Box/Tube,0.26,0.26,0.04,0.04,0.0352,0.0004259,0.0002933,0.0002933,0,0.0208,0.0208,0.002256154,0.002256154,0.002936,0.002936,0.091281906,0.091281906,No,No,Green,0,0,Yes,1,1,1,1,1,1,1,1,TUBO260X260X40,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO380X380X25,A992Fy50,Box/Tube,0.38,0.38,0.025,0.025,0.0355,0.001118,0.0007493,0.0007493,0,0.019,0.019,0.003943684,0.003943684,0.004734,0.004734,0.145282626,0.145282626,No,No,Magenta,0,0,Yes,1,1,1,1,1,1,1,1,TUBO380X380X25,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO340X238X35,A992Fy50,Box/Tube,0.34,0.238,0.035,0.035,0.03556,0.0005282,0.000504,0.0002753,0,0.0238,0.01666,0.002964706,0.002313445,0.003816,0.00291,0.119051369,0.087987754,No,No,Gray8Dark,0,0,Yes,1,1,1,1,1,1,1,1,TUBO340X238X35,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO300X300X35,A992Fy50,Box/Tube,0.3,0.3,0.035,0.035,0.0371,0.0006513,0.0004418,0.0004418,0,0.021,0.021,0.002945333,0.002945333,0.003708,0.003708,0.109125413,0.109125413,No,No,Yellow,0,0,Yes,1,1,1,1,1,1,1,1,TUBO300X300X35,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO400X200X35,A992Fy50,Box/Tube,0.4,0.2,0.035,0.035,0.0371,0.000479,0.0006773,0.0002062,0,0.028,0.014,0.0033865,0.002062,0.004461,0.002606,0.135115002,0.07455167,No,No,Magenta,0,0,Yes,1,1,1,1,1,1,1,1,TUBO400X200X35,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO320X224X40,A992Fy50,Box/Tube,0.32,0.224,0.04,0.04,0.03712,0.0004576,0.0004458,0.00024,0,0.0256,0.01792,0.00278625,0.002142857,0.003661,0.00277,0.109588769,0.08040844,No,No,Gray8Dark,0,0,Yes,1,1,1,1,1,1,1,1,TUBO320X224X40,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO360X360X28,A992Fy50,Box/Tube,0.36,0.36,0.028,0.028,0.03718,0.001025,0.000688,0.000688,0,0.02016,0.02016,0.003822222,0.003822222,0.00464,0.00464,0.136031512,0.136031512,No,No,Yellow,0,0,Yes,1,1,1,1,1,1,1,1,TUBO360X360X28,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO340X340X30,A992Fy50,Box/Tube,0.34,0.34,0.03,0.03,0.0372,0.0008937,0.0006014,0.0006014,0,0.0204,0.0204,0.003537647,0.003537647,0.004338,0.004338,0.127148207,0.127148207,No,No,Gray8Dark,0,0,Yes,1,1,1,1,1,1,1,1,TUBO340X340X30,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO400X280X30,A992Fy50,Box/Tube,0.4,0.28,0.03,0.03,0.0372,0.000828,0.0007728,0.00043,0,0.024,0.0168,0.003864,0.003071429,0.004842,0.003726,0.144132555,0.10751344,No,No,Yellow,0,0,Yes,1,1,1,1,1,1,1,1,TUBO400X280X30,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO400X400X25,A992Fy50,Box/Tube,0.4,0.4,0.025,0.025,0.0375,0.001318,0.0008828,0.0008828,0,0.02,0.02,0.004414,0.004414,0.005281,0.005281,0.153431852,0.153431852,No,No,Cyan,0,0,Yes,1,1,1,1,1,1,1,1,TUBO400X400X25,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO360X252X35,A992Fy50,Box/Tube,0.36,0.252,0.035,0.035,0.03794,0.0006424,0.0006099,0.0003344,0,0.0252,0.01764,0.003388334,0.002653968,0.004338,0.003314,0.126788734,0.093882462,No,No,Blue,0,0,Yes,1,1,1,1,1,1,1,1,TUBO360X252X35,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO280X280X40,A992Fy50,Box/Tube,0.28,0.28,0.04,0.04,0.0384,0.000553,0.0003789,0.0003789,0,0.0224,0.0224,0.002706429,0.002706429,0.003488,0.003488,0.099333718,0.099333718,No,No,Magenta,0,0,Yes,1,1,1,1,1,1,1,1,TUBO280X280X40,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
